Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Expenses,Children,Age,Relationship Status,TotalAcceptedCmp,NumTotalPurchases,Customer_Day
Undergraduate,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,0,64,Single,1,22,971
Undergraduate,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,2,67,Single,0,4,125
Undergraduate,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,0,56,Couple,0,20,472
Undergraduate,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,1,37,Couple,0,6,65
PhD,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,1,40,Couple,0,14,321
Master,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,1,54,Couple,0,20,453
Undergraduate,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,1,50,Single,0,17,753
PhD,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,1,36,Couple,0,8,488
PhD,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,1,47,Couple,1,5,548
PhD,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,2,71,Couple,1,1,268
Undergraduate,52247.25135379061,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,19,1,38,Couple,0,3,386
Highschool,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,0,45,Couple,0,5,753
Undergraduate,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,0,62,Single,0,15,386
Master,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,2,69,Single,0,12,386
Undergraduate,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,0,34,Couple,0,4,787
PhD,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,0,75,Single,3,25,742
Undergraduate,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,2,41,Couple,0,6,712
Undergraduate,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,0,75,Couple,0,11,827
Master,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,1,72,Couple,1,24,618
Master,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,1,36,Single,0,6,1000
Undergraduate,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,0,39,Couple,0,11,850
Undergraduate,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,1,42,Couple,0,28,553
PhD,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,1,72,Couple,1,14,713
PhD,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,1,67,Couple,0,17,35
Undergraduate,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,1,70,Couple,0,13,628
Undergraduate,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,0,52,Single,0,6,673
Undergraduate,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,2,45,Couple,0,10,558
Undergraduate,52247.25135379061,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,637,1,35,Single,0,27,654
Undergraduate,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,1,32,Couple,0,7,554
PhD,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,0,56,Couple,1,25,379
